,origintime,latitude,longitude,depth
260,2003-12-02 20:02:42.816753,-75.210731,160.496392,2002.93
261,2003-12-03 00:21:11.846942,-75.26965,160.606364,997.559
262,2003-12-03 03:47:51.449202,-75.355561,160.80881,-4930.664
263,2003-12-03 05:22:49.035751,-75.250201,160.504048,-2815.918
264,2003-12-03 06:56:43.153182,-75.010373,160.4885,17638.183999999997
265,2003-12-03 07:31:58.535351,-75.229828,160.957866,13998.047
266,2003-12-03 08:13:14.793833,-75.208345,160.449821,3372.314
267,2003-12-03 11:47:21.588047,-75.261802,160.561432,2002.93
268,2003-12-03 15:38:14.790884,-75.048737,161.168753,47105.956999999995
269,2003-12-03 16:47:19.634434,-75.388786,160.896791,-4965.332
270,2003-12-03 17:27:39.060916,-75.303771,160.792961,997.559
271,2003-12-03 18:40:01.965374,-75.253539,160.177892,26305.176
272,2003-12-03 22:22:28.780677,-75.259539,161.24348,38438.965000000004
273,2003-12-03 23:21:39.427356,-75.382569,160.969999,-943.8480000000001
274,2003-12-04 00:06:45.682721,-75.339254,160.672175,-4514.648
275,2003-12-04 02:43:07.975802,-75.186783,163.263837,22318.359
276,2003-12-04 04:18:30.140883,-75.392992,160.977311,-2607.91
277,2003-12-04 07:48:19.705282,-75.388595,160.889844,-3942.627
278,2003-12-04 10:06:34.090016,-75.318176,160.694788,-2711.914
279,2003-12-04 11:06:22.982603,-75.390418,160.792272,3008.301
280,2003-12-04 12:18:45.442021,-75.174637,161.082426,16979.492000000002
281,2003-12-04 14:22:06.561409,-75.357804,160.792904,13668.701000000001
282,2003-12-04 17:03:45.815214,-75.27655,160.69022,-787.8420000000001
283,2003-12-04 19:57:40.358399,-75.38573,160.891082,1361.5720000000001
284,2003-12-04 20:56:01.801600,-75.305327,160.653047,-1065.186
285,2003-12-04 21:42:25.822412,-75.356841,160.831979,789.551
286,2003-12-04 22:44:02.188886,-75.284055,160.626704,1292.2359999999999
287,2003-12-05 00:52:36.472017,-75.208074,163.27397,19995.605
288,2003-12-05 01:55:02.436633,-75.38684,160.97201,-3821.289
289,2003-12-05 05:10:47.750590,-75.207605,163.301277,22145.02
290,2003-12-05 05:53:06.674993,-75.332772,160.872493,-4965.332
291,2003-12-05 07:45:56.987787,-75.222802,160.249209,7861.816
292,2003-12-05 10:48:34.885718,-75.389192,160.835256,928.2230000000001
293,2003-12-05 11:42:22.244722,-75.391328,160.836242,425.537
294,2003-12-05 12:18:35.858887,-75.380861,160.83518,-441.162
295,2003-12-05 13:51:04.896555,-75.320715,160.491229,-4965.332
296,2003-12-05 17:35:01.368495,-75.379414,160.83811,-1134.521
297,2003-12-05 18:31:18.773822,-75.340252,160.578674,-4965.332
298,2003-12-05 18:43:12.604395,-75.409013,161.000674,-3509.277
299,2003-12-05 19:35:40.042702,-75.242317,160.722932,997.559
300,2003-12-05 21:50:47.250186,-75.298208,160.649355,-753.174
301,2003-12-05 22:50:56.970896,-75.3931,160.961923,-2538.574
302,2003-12-06 00:29:47.761452,-75.298909,160.651712,-1221.1909999999998
303,2003-12-06 00:58:26.879061,-75.338903,160.471174,-3231.9339999999997
304,2003-12-06 01:34:28.391008,-75.210746,163.228946,21451.66
305,2003-12-06 04:28:26.062779,-75.392781,160.973437,-4462.646000000001
306,2003-12-06 05:34:59.258119,-75.374833,160.952995,-2590.576
307,2003-12-06 07:25:31.375551,-75.391997,160.983359,-3370.605
308,2003-12-06 11:13:27.795125,-75.384102,160.849359,-2209.2290000000003
309,2003-12-06 15:36:41.535755,-75.344667,160.800053,2938.965
310,2003-12-06 16:40:26.668829,-75.257922,160.483294,-4757.324
311,2003-12-06 18:03:43.146373,-74.997585,161.413158,48111.328
312,2003-12-06 18:21:56.811876,-75.397087,160.829126,633.5450000000001
313,2003-12-06 18:54:22.949798,-75.250638,160.763363,997.559
314,2003-12-06 20:32:10.363626,-75.410024,160.889017,-2070.557
315,2003-12-06 21:17:04.884776,-75.398667,160.84238,-2399.902
316,2003-12-06 22:16:18.350167,-75.208392,163.024163,29633.301
317,2003-12-07 01:27:41.621485,-75.392309,160.831723,356.20099999999996
318,2003-12-07 06:12:00.455650,-75.374141,160.843726,737.549
319,2003-12-07 18:39:52.471252,-75.081736,160.893677,4013.6719999999996
320,2003-12-07 20:49:45.338293,-75.331829,160.834823,2020.2640000000001
321,2003-12-08 02:36:20.011909,-75.417493,161.140458,-4965.332
322,2003-12-08 07:18:38.398806,-75.348886,160.847297,2990.967
323,2003-12-09 07:17:02.126134,-75.304828,160.208372,26235.84
324,2003-12-10 04:03:42.417444,-75.210475,160.452262,1968.262
325,2003-12-10 07:32:24.951342,-75.391177,160.859322,460.205
326,2003-12-11 05:27:52.472638,-75.200248,163.313047,7549.805
327,2003-12-11 10:00:45.857118,-75.229023,160.503148,2020.2640000000001
328,2003-12-11 16:01:52.233819,-75.064222,160.146154,-4965.332
329,2003-12-12 07:59:42.177676,-75.191413,163.35486,5019.043
330,2003-12-14 10:47:39.127489,-75.386946,160.851189,252.197
331,2003-12-14 19:16:34.080616,-75.331683,160.387821,-458.49600000000004
332,2003-12-15 13:04:53.183148,-75.26354,160.592104,-2018.555
333,2003-12-15 16:53:01.902869,-75.390485,160.819221,460.205
334,2003-12-15 17:46:56.949824,-75.197483,160.381383,1968.262
335,2003-12-15 19:55:12.831545,-75.311441,160.784525,2037.598
336,2003-12-15 20:44:45.128250,-75.400793,160.881113,-3405.273
337,2003-12-16 06:00:00.761417,-75.377434,160.831371,-4072.6319999999996
338,2003-12-17 04:10:44.177477,-75.375407,160.794639,-4531.982
339,2003-12-21 05:27:08.490857,-75.501993,161.796339,2037.598
340,2003-12-21 14:17:43.477471,-75.465172,161.647003,7047.119000000001
341,2003-12-22 09:00:34.448735,-75.087187,160.673185,19215.575999999997
342,2003-12-23 07:47:45.513698,-75.390124,160.838429,21867.676
343,2003-12-23 12:04:02.614703,-75.383309,160.824656,17690.186
344,2003-12-23 14:27:17.179417,-75.35689,161.187625,22543.700999999997
345,2003-12-23 16:15:45.539466,-75.231586,159.887277,36358.887
346,2003-12-25 20:20:12.466342,-75.4918,160.940299,6717.773
347,2003-12-29 05:52:55.258900,-75.383829,160.854717,1309.57
348,2003-12-30 10:14:08.407654,-75.384172,160.838594,1638.916
349,2003-12-30 16:41:12.831670,-75.393717,160.834945,564.209
350,2012-11-23 17:28:53.574321,-75.453743,161.069128,13998.047
351,2012-11-27 17:56:13.602091,-75.356047,160.469421,-458.49600000000004
352,2012-11-28 16:12:26.754487,-75.336846,160.501693,-1359.863
353,2012-11-30 08:57:53.376569,-75.428044,160.539796,-4410.6449999999995
354,2012-12-01 06:12:10.474781,-75.310374,161.0126,-4930.664
355,2012-12-02 03:58:28.853007,-75.380046,160.428196,-4965.332
356,2012-12-03 13:02:40.707969,-75.419027,160.333933,-4930.664
357,2012-12-05 11:04:41.189598,-75.381496,160.259852,-4982.666
358,2012-12-07 02:14:47.345451,-75.293048,160.404957,128194.336
359,2012-12-08 06:13:30.687876,-75.516394,159.795752,48354.004
360,2012-12-08 11:11:35.298196,-75.235654,160.641556,121884.766
361,2012-12-09 03:33:02.905930,-75.228287,160.759702,135682.617
362,2012-12-09 05:43:07.007142,-75.420535,160.772109,139842.773
363,2012-12-09 16:53:43.333434,-75.304235,160.454741,113079.102
364,2012-12-13 19:13:31.010338,-75.416874,160.279816,-4965.332
365,2012-12-13 20:36:00.394450,-75.345141,161.421825,123479.492
366,2012-12-14 14:56:47.554855,-75.564519,159.971721,63885.254
367,2012-12-16 14:00:49.890551,-75.308744,160.407622,113044.434
368,2012-12-18 11:34:51.640185,-75.361058,160.514361,133186.523
369,2012-12-18 11:35:21.957448,-75.375205,160.863059,115505.859
370,2012-12-19 02:24:21.212125,-75.524489,161.276374,60037.109000000004
371,2012-12-20 14:44:30.112098,-75.26553,160.152626,109612.30500000001
372,2012-12-21 09:31:58.340015,-75.459024,160.330477,-4930.664
373,2012-12-23 13:25:38.270121,-75.369539,160.994698,54420.898
374,2012-12-27 00:05:04.284347,-75.312062,160.043433,-4063.9649999999997
375,2012-12-28 01:12:48.942347,-75.402298,161.195622,125143.55500000001
376,2012-12-28 06:16:16.363946,-75.41609,160.455549,131141.11299999998
377,2012-12-28 08:55:52.109023,-75.355624,160.458639,120567.383
378,2012-12-28 11:07:52.371686,-75.424187,160.351255,-4965.332
379,2012-12-31 07:33:17.302594,-75.247755,160.981166,130274.414
380,2012-12-31 17:49:54.921018,-75.458634,160.769646,114188.477
381,2013-01-01 16:39:50.631019,-75.368702,160.508823,119180.66399999999
382,2013-01-01 21:49:11.597183,-75.280312,160.269571,120290.03899999999
383,2013-01-04 04:52:41.677118,-75.346537,160.365858,135959.96099999998
384,2013-01-04 09:11:10.169932,-75.39275,161.011162,-4965.332
385,2013-01-06 11:35:30.770476,-75.622518,160.3855,65375.977000000006
386,2013-01-06 15:03:03.974908,-75.406092,160.353085,-4965.332
387,2013-01-06 15:40:52.666818,-75.434307,160.322623,-4930.664
388,2013-01-07 06:03:11.747890,-75.399867,160.557517,129373.04700000002
389,2013-01-07 10:23:10.031440,-75.476595,160.628946,64266.602000000006
390,2013-01-09 13:58:57.526847,-75.358244,161.167051,122196.777
391,2013-01-11 17:13:55.885441,-75.387447,160.565722,129303.711
392,2013-01-13 16:54:15.501986,-75.377514,161.198665,134711.91400000002
