Event Index Number,Reproduced depth (km),Depth with STAR (km),,Abs. Diff. in Depth,Is Abs. Diff <= 20 km?,,Ho etal IDE Event,Wei IDE Event,Ho etal Shallow Event,Wei Shallow Event,
391,122.089844,-4.912109,,127.001953,,,YES,,,YES,Original IDE swithed to shallow event
392,125.429688,125.429688,,0,YES,,YES,YES,,,
393,131.054688,131.054688,,0,YES,,YES,YES,,,
394,134.570312,-4.648438,,139.21875,,,YES,,,YES,Original IDE swithed to shallow event
395,117.695312,117.695312,,0,YES,,YES,YES,,,
396,114.003906,-4.824219,,118.828125,,,YES,,,YES,Original IDE swithed to shallow event
397,-4.824219,-4.648438,,0.175781,YES,,,,YES,YES,
398,114.003906,-4.912109,,118.916015,,,YES,,,YES,Original IDE swithed to shallow event
399,114.003906,114.179688,,0.175782,YES,,YES,YES,,,
400,117.519531,117.519531,,0,YES,,YES,YES,,,
402,108.90625,-4.824219,,113.730469,,,YES,,,YES,Original IDE swithed to shallow event
403,133.164062,133.164062,,0,YES,,YES,YES,,,
405,121.386719,121.386719,,0,YES,,YES,YES,,,
406,113.476562,-4.912109,,118.388671,,,YES,,,YES,Original IDE swithed to shallow event
407,122.089844,122.089844,,0,YES,,YES,YES,,,
408,126.835938,89.746094,,37.089844,,,YES,YES,,,
409,-0.078125,103.105469,,103.183594,,,,YES,YES,,Original shallow event switched to IDE event
410,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
411,-4.296875,85.351562,,89.648437,,,,YES,YES,,Original shallow event switched to IDE event
412,119.804688,-4.824219,,124.628907,,,YES,,,YES,Original IDE swithed to shallow event
413,-4.824219,-4.912109,,0.08789,YES,,,,YES,YES,
414,128.59375,128.066406,,0.527344,YES,,YES,YES,,,
415,121.210938,95.195312,,26.015626,,,YES,YES,,,
418,111.015625,-4.824219,,115.839844,,,YES,,,YES,Original IDE swithed to shallow event
419,111.894531,-4.824219,,116.71875,,,YES,,,YES,Original IDE swithed to shallow event
420,118.925781,118.925781,,0,YES,,YES,YES,,,
421,-4.648438,-4.824219,,0.175781,YES,,,,YES,YES,
422,112.070312,-4.824219,,116.894531,,,YES,,,YES,Original IDE swithed to shallow event
425,119.101562,119.101562,,0,YES,,YES,YES,,,
426,113.476562,-4.824219,,118.300781,,,YES,,,YES,Original IDE swithed to shallow event
427,-4.824219,-4.824219,,0,YES,,,,YES,YES,
428,131.582031,131.582031,,0,YES,,YES,YES,,,
429,-4.824219,-3.066406,,1.757813,YES,,,,YES,YES,
430,112.246094,112.246094,,0,YES,,YES,YES,,,
431,-4.824219,-4.824219,,0,YES,,,,YES,YES,
432,131.757812,101.523438,,30.234374,,,YES,YES,,,
433,-4.296875,-4.648438,,0.351563,YES,,,,YES,YES,
434,27.34375,83.417969,,56.074219,,,,YES,,,
435,-4.824219,-4.824219,,0,YES,,,,YES,YES,
436,129.296875,129.296875,,0,YES,,YES,YES,,,
437,122.089844,-4.824219,,126.914063,,,YES,,,YES,Original IDE swithed to shallow event
439,131.757812,96.074219,,35.683593,,,YES,YES,,,
441,126.660156,126.660156,,0,YES,,YES,YES,,,
442,123.144531,123.144531,,0,YES,,YES,YES,,,
443,121.914062,-4.824219,,126.738281,,,YES,,,YES,Original IDE swithed to shallow event
444,119.277344,-4.824219,,124.101563,,,YES,,,YES,Original IDE swithed to shallow event
445,115.585938,-4.824219,,120.410157,,,YES,,,YES,Original IDE swithed to shallow event
446,124.726562,89.042969,,35.683593,,,YES,YES,,,
